CC;European list coalition;alternative;national party;votes;comment
ES;coalition;no alternative;Ahora Repúblicas;860660;split approximated by regional votes
ES;Greens;EFA;Esquerra Republicana de Catalunya;375618;
ES;Left;no alternative;Euskal Herria Bildu;293430;
ES;Greens;EFA;Bloque Nacionalista Galego;191612;
ES;coalition;no alternative;Sumar;818015;slpit 2:1:1
ES;Left;no alternative;Sumar - LEFT;409007;
ES;Greens;EGP;Sumar - EGP;204504;
ES;Greens;EFA;Sumar - EFA;204504;
ES;none;no alternative;Se Acabó la Fiesta;803545;
ES;Left;no alternative;Podemos;578007;
ES;none;no alternative;Junts per Catalunya;442297;
ES;RENEW;EDP;Coalición por una Europa Solidaria;284888;
ES;APEU;no alternative;Partido Animalista Con el Medio Ambiente;135691;
ES;RENEW;ALDE;Ciudadanos-Partido de la Ciudadanía;122292;
ES;none;no alternative;Frente Obrero;66039;
ES;none;no alternative;La España Olvidada EXISTE - Municipalistas - Mundo Justo;40292;
ES;none;no alternative;Izquierda Española;32766;
ES;none;no alternative;Feministas al Congreso;29236;
ES;none;no alternative;Iustitia Europa;26611;
ES;Greens;EFA;Ahora Andalucía;22965;
ES;Greens;VOLT;Volt España;20020;
ES;none;no alternative;Escaños en Blanco para dejar escaños vacíos;19586;
ES;none;no alternative;Partido Comunista de los Trabajadores de España;15176;
ES;Greens;EUPP;PIRATAS | REBELDES;14484;
ES;none;no alternative;Partido Comunista de los Pueblos de España/Partit Comunista del Poble de Catalunya;11177;
ES;none;no alternative;Falange Española de las JONS;9677;
ES;none;no alternative;Soberanía Alimentaria Española;9311;
ES;none;no alternative;Cree en Europa;9276;
ES;none;no alternative;Recortes Cero;7618;
ES;none;no alternative;Partido Humanista;6550;
ES;none;no alternative;País i Moviment Rural;6541;
ES;none;no alternative;Salamanca-Zamora-León PREPAL;6456;
ES;none;no alternative;Partido Galego;5719;
ES;none;no alternative;Futuro;5671;
ES;none;no alternative;Juntos por Extremadura;5611;
ES;none;no alternative;Corriente Revolucionaria de los Trabajadores;5165;
ES;none;no alternative;EXTREMEÑOS PREX CREX;3509;
SE;PES;no alternative;Socialdemokraterna;1039676;
SE;EPP;no alternative;Moderaterna;736079;
SE;Greens;EGP;Miljöpartiet;581322;
SE;ECR;no alternative;Sverigedemokraterna;552920;
SE;Left;no alternative;Vänsterpartiet;464166;
SE;RENEW;ALDE;Centerpartiet;306227;
SE;EPP;no alternative;Kristdemokraterna;239530;
SE;RENEW;ALDE;Liberalerna;183675;
SE;none;no alternative;Folklistan;25901;
SE;none;no alternative;Alternativ för Sverige;17049;
SE;Greens;EUPP;Piratpartiet;15403;
SE;none;no alternative;Medborgerlig Samling;12699;
SE;none;no alternative;MoD - Mänskliga rättigheter och Demokrati;8057;
SE;none;no alternative;Kristna Värdepartiet;3896;
SE;none;no alternative;Värdigt liv;2545;
SE;none;no alternative;Swexit;2285;
SE;none;no alternative;Partiet Nyans;1772;
SE;none;no alternative;Sveriges kommunistiska parti;1629;
SE;none;no alternative;Klimatalliansen;1200;
SE;Greens;VOLT;Volt i Sverige;388;
SE;none;no alternative;Direktdemokraterna;275;
SE;none;no alternative;Basinkomstpartiet;222;
SE;none;no alternative;Klassiskt liberala partiet;161;
