CC;European list coalition;alternative;national party;votes;comment;seats
SK;none;no alternative;HLAS – sociálna demokracia;106076;;1
SK;EPP;no alternative;Kresťanskodemokratické hnutie;105602;;1
SK;ECR;no alternative;Sloboda a Solidarita;72703;;0
SK;EPP;no alternative;Demokrati;69204;;0
SK;none;no alternative;Magyar Szövetség – Maďarská aliancia;57350;;0
SK;EPP;no alternative;SLOVENSKO, ZA ĽUDÍ;29385;;0
SK;none;no alternative;Slovenská národná strana;28102;;0
SK;none;no alternative;ZDRAVÝ ROZUM;13867;;0
SK;ECPM;no alternative;Kresťanská únia;9313;;0
SK;none;no alternative;Kotlebovci – Ľudová strana Naše Slovensko;7103;;0
SK;none;no alternative;Slovenský PATRIOT;5412;;0
SK;Left;no alternative;Komunistická strana Slovenska;2232;;0
SK;Greens;VOLT;Volt Slovensko;1923;;0
SK;none;no alternative;Socialisti.sk;1800;;0
SK;none;no alternative;SRDCE vlastenci a dôchodcovia – SLOVENSKÁ NÁRODNÁ JEDNOTA;1274;;0
SK;none;no alternative;MySlovensko;1214;;0
SK;none;no alternative;Spájame Občanov Slovenska – SOSK;1143;;0
SK;none;no alternative;SPOLOČNE OBČANIA SLOVENSKA;588;;0
SK;none;no alternative;Slovenská ľudová strana Andreja Hlinku;486;;0
SK;EPP;no alternative;Slovenská demokratická a kresťanská únia – Demokratická strana;416;;0
SI;EPP;no alternative;Slovenska demokratska stranka;206386;;4
SI;RENEW;no alternative;Gibanje Svoboda;149200;;2
SI;Greens;EGP;VESNA – zelena stranka;71023;;1
SI;PES;no alternative;Socialni demokrati;52390;;1
SI;EPP;no alternative;Nova Slovenija – krščanski demokrati;51812;;1
SI;EPP;no alternative;Slovenska ljudska stranka;48637;;0
SI;Left;no alternative;Levica;32436;;0
SI;none;no alternative;Državljansko gibanje Resni.ca;26767;;0
SI;RENEW;EDP;Demokratična stranka upokojencev Slovenije in Dobra država;14980;;0
SI;RENEW;no alternative;Zeleni Slovenije;10865;;0
SI;none;no alternative;Nič od tega;10263;;0
ES;EPP;no alternative;Partido Popular;5996627;;22
ES;PES;no alternative;Partido Socialista Obrero Español;5290945;;20
ES;PfE;no alternative;Vox;1688255;;6
ES;coalition;no alternative;Ahora Repúblicas;860660;split approximated by regional votes;0
ES;Greens;EFA;Esquerra Republicana de Catalunya;375618;;1
ES;Left;no alternative;Euskal Herria Bildu;293430;;1
ES;Greens;EFA;Bloque Nacionalista Galego;191612;;1
ES;coalition;no alternative;Sumar;818015;slpit 2:1:1;0
ES;Left;no alternative;Sumar - LEFT;409007;;1
ES;Greens;EGP;Sumar - EGP;204504;;1
ES;Greens;EFA;Sumar - EFA;204504;;1
ES;none;no alternative;Se Acabó la Fiesta;803545;;3
ES;Left;no alternative;Podemos;578007;;2
ES;none;no alternative;Junts per Catalunya;442297;;1
ES;RENEW;EDP;Coalición por una Europa Solidaria;284888;;1
ES;APEU;no alternative;Partido Animalista Con el Medio Ambiente;135691;;0
ES;RENEW;ALDE;Ciudadanos-Partido de la Ciudadanía;122292;;0
ES;none;no alternative;Frente Obrero;66039;;0
ES;none;no alternative;La España Olvidada EXISTE - Municipalistas - Mundo Justo;40292;;0
ES;none;no alternative;Izquierda Española;32766;;0
ES;none;no alternative;Feministas al Congreso;29236;;0
ES;none;no alternative;Iustitia Europa;26611;;0
ES;Greens;EFA;Ahora Andalucía;22965;;0
ES;Greens;VOLT;Volt España;20020;;0
ES;none;no alternative;Escaños en Blanco para dejar escaños vacíos;19586;;0
ES;none;no alternative;Partido Comunista de los Trabajadores de España;15176;;0
ES;Greens;EUPP;PIRATAS | REBELDES;14484;;0
ES;none;no alternative;Partido Comunista de los Pueblos de España/Partit Comunista del Poble de Catalunya;11177;;0
ES;none;no alternative;Falange Española de las JONS;9677;;0
ES;none;no alternative;Soberanía Alimentaria Española;9311;;0
ES;none;no alternative;Cree en Europa;9276;;0
ES;none;no alternative;Recortes Cero;7618;;0
ES;none;no alternative;Partido Humanista;6550;;0
ES;none;no alternative;País i Moviment Rural;6541;;0
ES;none;no alternative;Salamanca-Zamora-León PREPAL;6456;;0
ES;none;no alternative;Partido Galego;5719;;0
ES;none;no alternative;Futuro;5671;;0
ES;none;no alternative;Juntos por Extremadura;5611;;0
ES;none;no alternative;Corriente Revolucionaria de los Trabajadores;5165;;0
ES;none;no alternative;EXTREMEÑOS PREX CREX;3509;;0
SE;PES;no alternative;Socialdemokraterna;1039676;;5
SE;EPP;no alternative;Moderaterna;736079;;4
SE;Greens;EGP;Miljöpartiet;581322;;3
SE;ECR;no alternative;Sverigedemokraterna;552920;;3
SE;Left;no alternative;Vänsterpartiet;464166;;2
SE;RENEW;ALDE;Centerpartiet;306227;;2
SE;EPP;no alternative;Kristdemokraterna;239530;;1
SE;RENEW;ALDE;Liberalerna;183675;;1
SE;none;no alternative;Folklistan;25901;;0
SE;none;no alternative;Alternativ för Sverige;17049;;0
SE;Greens;EUPP;Piratpartiet;15403;;0
SE;none;no alternative;Medborgerlig Samling;12699;;0
SE;none;no alternative;MoD - Mänskliga rättigheter och Demokrati;8057;;0
SE;none;no alternative;Kristna Värdepartiet;3896;;0
SE;none;no alternative;Värdigt liv;2545;;0
SE;none;no alternative;Swexit;2285;;0
SE;none;no alternative;Partiet Nyans;1772;;0
SE;none;no alternative;Sveriges kommunistiska parti;1629;;0
SE;none;no alternative;Klimatalliansen;1200;;0
SE;Greens;VOLT;Volt i Sverige;388;;0
SE;none;no alternative;Direktdemokraterna;275;;0
SE;none;no alternative;Basinkomstpartiet;222;;0
SE;none;no alternative;Klassiskt liberala partiet;161;;0
